"Title","Author","Description","Pages","Publication year","Publisher","Category","Subcategory","Price"
"أكثر من حياة","سليمان المعمري","إنهم يشيعون الحياة في الحياة، ويحولون المحيط بأسره إلى مجرد شربة ماء! يا لهم من أسخياء عبدالله حبيب أجزم أن المدونة ستنجح في صنع ق راء كثيرين يعيدون إلى الكتاب تاريخه وتأثيره في الحياة اليومية عبد العزيز الفارسي عرضراء كثيرين يعيدون إلى الكتاب تاريخه وتأثيره في الحياة اليومية عبد العزيز الفارسي","110","2011","مكتبة العبيكان","0000000010000","عام","18.75"
"ألغاز الحياة في الكون","عماد الأسدي","الحياة هي من أكثر الكلمات التي يتداولها الناس، فقد بدأ الانسان بالاهتمام بشؤونها منذ القدم، وشكل العديد من الثقافات حولها، وكانت النظرة للحياة نظر ة عامة، وبدأ الاقتراب أكثر من علومها مع تطور الأدوات، وهي التي أصبحت فيما بعد جزء أساسي مما يعرف بعلم الفيزياء، ولا شك أن هذا الأخير كان الأساس لتطور كل العلوم بما فيها البيولوجيا، وحتى الفيزياء نفسها. من مشاكل البحث في قضية الحياة أنها علم متشعب يضم علوم متعددة وكثيرة، ذلك لأن فهم الحياة(قدر الإمكان) يتطلب الوصول الى نظرة شاملة تربط بين الكثير من الفروع العلمية المتنوعة، وهو ما سنحاول أن نقوم به، حيث يشكل هذا الأمر الهدف الرئيسي لهذا العمل. قدم الكتاب لأول مرة نظرة جديدة حول دور الكهرطيسية في بناء الحياة الذكية، ومن القضايا الرئيسية التي يبحث فيها الكتاب هي فرضيات جديدة لبنية الكائنات الفضائية وكيف يمكن دراستها، وارتباط الحياة بنظرية الانفجار العظيم، وعلاقة الحياة بالنظرية الكوانتية، وماهي احتمالات وجود الحياة البسيطة والذكية خارج الأرض، وقد طرح الكتاب مفاهيم حديثة ومشاريع لكتب وأبحاث جديدة. ويمثل هذا الكتاب الجزء الأول من مشروع موسوعة الحياة في الكون. عرضة عامة، وبدأ الاقتراب أكثر من علومها مع تطور الأدوات، وهي التي أصبحت فيما بعد جزء أساسي مما يعرف بعلم الفيزياء، ولا شك أن هذا الأخير كان الأساس لتطور كل العلوم بما فيها البيولوجيا، وحتى الفيزياء نفسها. من مشاكل البحث في قضية الحياة أنها علم متشعب يضم علوم متعددة وكثيرة، ذلك لأن فهم الحياة(قدر الإمكان) يتطلب الوصول الى نظرة شاملة تربط بين الكثير من الفروع العلمية المتنوعة، وهو ما سنحاول أن نقوم به، حيث يشكل هذا الأمر الهدف الرئيسي لهذا العمل. قدم الكتاب لأول مرة نظرة جديدة حول دور الكهرطيسية في بناء الحياة الذكية، ومن القضايا الرئيسية التي يبحث فيها الكتاب هي فرضيات جديدة لبنية الكائنات الفضائية وكيف يمكن دراستها، وارتباط الحياة بنظرية الانفجار العظيم، وعلاقة الحياة بالنظرية الكوانتية، وماهي احتمالات وجود الحياة البسيطة والذكية خارج الأرض، وقد طرح الكتاب مفاهيم حديثة ومشاريع لكتب وأبحاث جديدة.... ويمثل هذا الكتاب الجزء الأول من مشروع موسوعة الحياة في الكون.","156","1999","ELGA   منشورات","0000001000000","الفيزياء","56.25"
"ألغاز خفيفة","سلطان باجسير","جمعت ابوابا شتى من ضروب الالغاز عساها تسهم في اثراء البرامج واللقاءات وليالي السمر بما هو طريف وظريف .  عرض","72","2012","دار الحضارة للنشر والتوزيع _ السعودية","0100000000000","ألغاز","19.99"
"ألغاز من عالمنا","أندره كسبار","كيف تختفي سفن وطائرات من دون ان تترك أثراً؟ ما هو كوكب الثقب الأسود؟ لماذا تتحرّك القارّات؟ ولماذا يحترق بعض الأشخاص تلقائياً؟ عديدة ه ي الظواهر التي طالما اعتبرها الناس خرافية لكنّها أصبحت مواضيع دراسة علمية، مثل التخاطر وإرتفاع الأجسام في الهواء بلا عرضي الظواهر التي طالما اعتبرها الناس خرافية لكنّها أصبحت مواضيع دراسة علمية، مثل التخاطر وإرتفاع الأجسام في الهواء بلا","256","1985","دار الساقي للنشر والتوزيع","0000000000001","القصص","45.0"
"ألف باء الخياطة والتفصيل","صدوف كمال، سيما عثمان","لا أحلا ولا أجمل من أن تلبس المرأة أغلى ما في الوجود لديها، ونعني فلذة كبدها، ملبوسا من صنع يديها، وبديع فنها، وهذا الكتاب يسعى لتشجيع هذه الهواية ، هواية الخياطة، حيث جاء ليكون عونا لمن عندها الغبة في الإقدام على الخياطة بخطى ثابتة وسهلة، لتزهو بثيابها وث عرض، هواية الخياطة، حيث جاء ليكون عونا لمن عندها الغبة في الإقدام على الخياطة بخطى ثابتة وسهلة، لتزهو بثيابها وث","162","1990","دار العلم للملايين","0000010000000","شؤون المرأة","32.63"
"ألفية السند","محمد الزبيدي","علم الحداثة النبوي الشريف رواية ودراية من أشرف العلوم الإسلامية، وبقاء اتصال سلسلة الإسناد من خصائص الأمة المحمدية. وممن خدم هذا العلم وبرع فيه مر تضى الزبيدي شارح ""القاموس"" و ""الأحياء"" وصاحب المؤلفات التي طبقت الآفاق علماً. عرضتضى الزبيدي شارح ""القاموس"" و ""الأحياء"" وصاحب المؤلفات التي طبقت الآفاق علماً.","308","2000","دار ابن حزم للطباعة والنشر والتوزيع","0000000000010","الحديث وعلومه","30.0"
"ألم ونجاح على ضفاف الراين","نجوى عز الدين","استأثر الاشتغال على حقل تاريخ فلسطين المعاصر بالقسط الأكبر من اهتمام الباحثين الفلسطينيين والعرب. وبينما بقي الاهتمام بحقلي تاريخ فلسطين القديم وا لإسلامي محدوداً، نشهد، في السنوات الأخيرة، تعاظماً للاهتمام بحقل تاريخ فلسطين العثماني، وبخاصة في المرحلة ال عرضلإسلامي محدوداً، نشهد، في السنوات الأخيرة، تعاظماً للاهتمام بحقل تاريخ فلسطين العثماني، وبخاصة في المرحلة ال","416","2016","دار الفارابي للنشر والتوزيع","0000000000001","السير والذكريات","37.5"
"أم حامد","مصطفى الفيلالي","تعود بنا إلى زمن ""الخرج"" و ""القفة"" في زمن اعتقد خلاله احد شخوص الرواية ""حامد"" إن السفر إلى باريس للترسيم بكلية الحقوق لا يتطلب شيئا عدا بعض الدنان ير . المكان في الرواية ينطلق من ""العضلة"" (الفلايلية) ريف من أرياف سيدي علي بن نصرالله مرورا بتونس العاصمة وصولا إلى عاصمة الأنوار باريس ليبني الكاتب انطلاقا من الأمكنة المتعددة جملة من الأحداث الشيقة و المتداخلة عرضير . المكان في الرواية ينطلق من ""العضلة"" (الفلايلية) ريف من أرياف سيدي علي بن نصرالله مرورا بتونس العاصمة وصولا إلى عاصمة الأنوار باريس ليبني الكاتب انطلاقا من الأمكنة المتعددة جملة من الأحداث الشيقة و المتداخلة","192","2015","مركز دراسات الوحدة العربية","0000000000001","الروايات","37.5"
"أماديوس","بيتر شافر","تتضمن أعمال بيتر شافر كلها مزيجاً فريداً من النصوص الدرامية الفلسفية والكوميديا الهازئة، فمسرحيته ""المطاردة الملكية للشمس"" 1964 تصور الغزو الإسبان ي المفجع للبيرو، بينما مسرحية ""الكوميديا السوداء"" 1965 تلقي نظرة غاية في الطرافة على حماقات مجموعة من الشخصيات التي تتحسس طريقها في غرفة داكنة الظلمة، رغم أن خشبة المسرح في الواقع غارقة بالأضواء الساطعة. أما مسرحية ""إيكوس"" 1973 فقد جلبت له في العام 1975 جائزة ""طوني"" لأفضل مسرحية، بالإضافة إلى جائزة عصبة نقاد الدراما في نيويورك، وعرضت لأكثر من ألف مرة على مسارح برودواي، العديد من مسرحيات بيتر شافر تم تحويلها إلى أعمال سينمائية من ضمنها ""المطاردة الملكية للشمس"" 1969 وإسكوس 1977 و""أماديوس"" في العام 1984 الذي حصد ثمانية أوسكارات، بما فيها أوسكار أفضل فيلم. عرضي المفجع للبيرو، بينما مسرحية ""الكوميديا السوداء"" 1965 تلقي نظرة غاية في الطرافة على حماقات مجموعة من الشخصيات التي تتحسس طريقها في غرفة داكنة الظلمة، رغم أن خشبة المسرح في الواقع غارقة بالأضواء الساطعة. أما مسرحية ""إيكوس"" 1973 فقد جلبت له في العام 1975 جائزة ""طوني"" لأفضل مسرحية، بالإضافة إلى جائزة عصبة نقاد الدراما في نيويورك، وعرضت لأكثر من ألف مرة على مسارح برودواي، العديد من مسرحيات بيتر شافر تم تحويلها إلى أعمال سينمائية من ضمنها ""المطاردة الملكية للشمس"" 1969 وإسكوس 1977 و""أماديوس"" في العام 1984 الذي حصد ثمانية أوسكارات، بما فيها أوسكار أفضل فيلم.","0","2003","دار ورد للنشر و التوزيع","0000000000001","المسرحيات","16.07"
"أمريكا بعيون عربية!","عبد الحي زلوم","لعل حروب الإمبراطورية الأمريكية النفطية العلنية في بداية القرن الواحد والعشرين كانت نتيجة إدراك الولايات المتحدة بأن بداية النهاية لعصر النفط -ابت داءً من بداية نهاية عصر النفط الرخيص- قد بدأت، حيث أصبحت الولايات المتحدة مستوردة لأكثر من ثلثي احتياجاتها ال عرضداءً من بداية نهاية عصر النفط الرخيص- قد بدأت، حيث أصبحت الولايات المتحدة مستوردة لأكثر من ثلثي احتياجاتها ال","320","2007","المؤسسة العربية للدراسات والنشر","0000000100000","السياسة الدولية","45.0"
"أمريكا والوحدة العربية 1945 - 1982","علي الدين هلال","القراء التواقون إلى معرفة أسباب فشل كل جهود السلام في فلسطين في ظل سلام الهيمنة الأمريكية، سيجدون في هذا الكتاب الرائع أجوبة واضحة لا لبس فيها. إن ه يكشف بوضوح عن التناقض بين حديثها عن السلام وبين واقع سياستها. ففيما تقف واشنطن سداً في وجه كل مبادرة للسلا عرضه يكشف بوضوح عن التناقض بين حديثها عن السلام وبين واقع سياستها. ففيما تقف واشنطن سداً في وجه كل مبادرة للسلا","269","1989","مركز دراسات الوحدة العربية","0000000100000","السياسة الدولية","22.5"
"أمسيات قرب قرية ديكانكا","نيقولاي جوجول","تمتلئ القُرى دائمًا بالخرافات، ولعل الذين عاشوا جزءًا من حياتهم فى قريةٍ بعرفون كمّ الأساطير والخرافات التي تشيع بين قاطني القُرى. يطرح جوجول  فى هذا الكتاب- والذي يتكون من قصصٍ لا يجمع بينها إلا وقوعها في قرية ديكانكا- زوايا مختلفةً لما يتداوله أهل القرى من أساطير وخرافاتٍ، مستخدمًا تقنياتٍ وأساليب متنوعةً في السرد وإدارة مشاهد الأحداث. سينتبه القارئ حتمًا للتقاطعات والموافقات والتطابقات التي توجد في هذه القصص مع ميراثنا، ومع ميراث كثير من القُرى التي تنتشر في أنحاء العالم والتي توكد أن طبيعة الإنسان واحدة، وأن ميراثنا له جذورٌ مشتركةٌ. عرضفى هذا الكتاب- والذي يتكون من قصصٍ لا يجمع بينها إلا وقوعها في قرية ديكانكا- زوايا مختلفةً لما يتداوله أهل القرى من أساطير وخرافاتٍ، مستخدمًا تقنياتٍ وأساليب متنوعةً في السرد وإدارة مشاهد الأحداث. سينتبه القارئ حتمًا للتقاطعات والموافقات والتطابقات التي توجد في هذه القصص مع ميراثنا، ومع ميراث كثير من القُرى التي تنتشر في أنحاء العالم... والتي توكد أن طبيعة الإنسان واحدة، وأن ميراثنا له جذورٌ مشتركةٌ.","383","2018","آفاق للنشر والتوزيع _مصر","0000000000001","الروايات","45.0"
"أميرة الخيال","أيما دارسي","هل تتحقق الأمنيات يوماً؟ وهل تتحول أميرة الخيال إلى أميرة على عرش الحب لا عرش الانتقام؟ في اللحظة التي رأى فيها نك آرمسترونغ أميرة الخ يال، قرر أن يحصل عليها ونسي تماماً أنها باربي المراهقة التي رفض تعلقها به منذ سنوات. بالنسبة لباربي، أحلى انتقام عرضيال، قرر أن يحصل عليها... ونسي تماماً أنها باربي المراهقة التي رفض تعلقها به منذ سنوات. بالنسبة لباربي، أحلى انتقام","160","2002","دار الفراشة للطباعة والنشر والتوزيع / الأردن","0000000000001","الروايات","15.19"
"أميرة القمر","منال الغداني","في رحلة داخل أعماق البحر تجد رينار نفسها مختلفة عن بقية الأسماك التي تستعد لرحلة طويلة في مخاطر البحر .. فكيف ستتمكن من التكيف مع اختلافها ال مزيد في قصة أميرة القمر .. عرضمزيد في قصة أميرة القمر ..","272","2014","دار كُتّاب للنشر والتوزيع","0000010000000","تربية الأطفال","20.4"
"أميركا المتدينة الجديدة","ديانا ل. إيك","يرى الكاتب بأن التنوع الجيني في حياة أميركا الحاضرة وجد ليبقى، وأن المرحلة الأكثر إثارة وأهمية من مراحل تاريخ أميركا تكمن في الأيام القادمة. فالمب ادئ الأساسية التي قامت عليها أميركا ستخضع للإختبار لمعرفة قوتها وروايتها في أميركا الجديدة المتدينة والفرصة ل عرضادئ الأساسية التي قامت عليها أميركا ستخضع للإختبار لمعرفة قوتها وروايتها في أميركا الجديدة المتدينة والفرصة ل","559","2008","الأهلية للنشر والتوزيع","0000000100000","السياسة العربية المعاصرة","71.25"
"أمّي طويلة... طويلة","لما عازر","أُمِّي طَويلةٌطَويلة في المَدرَسَة، أَرسُمُ صُورَةً لعَائلَتي الجَميلَة، فَيَضحَكُ أَصدقَائي، وَيَستَغربُ أَسَاتذَتي. عَائلَتِي مُخ تَلفَةٌ قَليلًا في الشَّكلِ عَمَّا هُوَ مُتوَقَّعٌ، وَلَكنَّ اختلَافَهَا هَذَا هُوَ أَكثرُ مَا يُمَيِّزُها. عرضتَلفَةٌ قَليلًا في الشَّكلِ عَمَّا هُوَ مُتوَقَّعٌ، وَلَكنَّ اختلَافَهَا هَذَا هُوَ أَكثرُ مَا يُمَيِّزُها.","28","2017","جبل عمان ناشرون","0000010000000","الأطفال","21.19"
"أن تقتل طائراً بريئاً","هاربر لي","نُشِرت رواية أن تقتل طائرًا بريئًا لمؤلفتها الأمريكية هاربر لي لأول مرة في عام 1960، ومنذ نشرها أصبحت من أكثر الروايات مبيعًا واحتلت موقعًا بارزًا في تاريخ الأدب الأمريكي المعاصر. فازت الرواية بجائرة بوليتزر للكتاب Pulitzer عام 1961، وقد طُبع منها أكثر من عرضفي تاريخ الأدب الأمريكي المعاصر. فازت الرواية بجائرة بوليتزر للكتاب Pulitzer عام 1961، وقد طُبع منها أكثر من","578","2009","دار الشروق – مصر","0000000000001","الروايات","37.5"
"أنا أستطيع","شيماء المرزوقي","قصة أنا أستطيع، تعزز ثقة أطفالنا بأنفسهم وبقدراتهم، وتوجه رسائل إيجابية للوالدين حول فن التعامل مع مخاوف الطفل بفهم وذكاء.  عرض","39","2015","دار كُتّاب للنشر والتوزيع","0000010000000","تربية الأطفال","30.6"
"أنا لست نسراً","فاطمة شرف الدين","تمايلتُ يميناً، يساراً، ثمّ نزولاً من السّماء إلى الأسفل. كنت جائعة، عطشة، وخائفة. قصّة عن الهوية والحب والإخلاص والشجاعة؛ إنها قصة كركر، بجعة قوية ومرهفة الإحساس. عرضبجعة قوية ومرهفة الإحساس.","24","2013","دار الساقي للنشر والتوزيع","0000010000000","تربية الأطفال","30.0"
"أنا مختلف","ناديا النجار","قصة موجهة للأطفال تظهر الكاتبة من خلالها إمكانية التغلب على الإعاقة وصنع النجاح من خلال قصة جميلة مسلطة الضوء على بعض العادات والمن اطق في الإمارات عرضاطق في الإمارات","36","2017","سما للنشر والإنتاج والتوزيع _ الإمارات","0000000000001","القصص","35.44"
"أنتيغون - لونان","جان أنوي","قد ساهم المسرح، طوال تاريخ الإنسانية، في تطوير الإنسان وتنمية العلاقات الاجتماعية. فلا مسرح في مجتمع لا يؤمن بالصراع بين الإنسان والقدر، بين السلط ة والفرد، بين الخالق والمخلوق. من خلال مسرحية ""أنتيغون"" يحيى جان أنوي النزوات الأكثر إيلاماً للدراما الإنساني عرضة والفرد، بين الخالق والمخلوق. من خلال مسرحية ""أنتيغون"" يحيى جان أنوي النزوات الأكثر إيلاماً للدراما الإنساني","112","2006","دار الجيل للطباعة والنشر والتوزيع","0000000000001","المسرحيات","13.13"
"أنثروبولوجيا العوالم المعاصرة","مارك أوجي","يحاول هذا الكتاب أن يكون بياناً ولكن ذلك لا يلزم إلا كاتبه، وهو بذلك مدين بالكثير بلا شك إلى كل أولئك الذين يتطلعون مثله إلى بناء مشروع أنثروبولوج ية العوالم المعاصرة يتصورنها بطريقة هجومية، لا كموقف تراجع لأولئك الذين أحبطتهم الغرائبية، منهم على وجه الخصو عرضية العوالم المعاصرة يتصورنها بطريقة هجومية، لا كموقف تراجع لأولئك الذين أحبطتهم الغرائبية، منهم على وجه الخصو","160","2016","دار الروافد الثقافية ناشرونu200e ، ابن النديم للنشر والتوزيع","0000000100000","السياسة الدولية","30.0"
"أنثروبولوجيا العولمة","مارك أبيليس","لقد أُدْرِجَتْ عبارتا «عالميّة mondialisation» و«عولمة globalisation» في اللغة المشتركة إلى درجة أنّ استعمالهما، عند الحديث عن مستقبل المجتمعات ال حديثة، لا يُعِينُ على توضيح النقاش، بقدر ما ينمّي الغموض القائم. بهذا الخصوص، يجدرُ بدون شكّ، اتّخاذ الحيطة. عرضحديثة، لا يُعِينُ على توضيح النقاش، بقدر ما ينمّي الغموض القائم. بهذا الخصوص، يجدرُ بدون شكّ، اتّخاذ الحيطة.","304","2017","نور للنشر","0000000000100","إدارة الأعمال","153.53"
"أندلسيات شامية وبحوث أخرى","محمد الداية","هذا الكتاب إسهام آخر في جوانب من التراث الفكري والأدبي والنقدي، وقضايا التأريخ والحضارة، وفي بعض الأحوال والشخصيات التي لمعت في سماء الأندلس، ذات  الذكريات العزيزة على النفوس. ويضم الكتاب إضافة إلى تلك النفحات الأندلسية بعض البحوث التي تتناغم مع أخواتها و عرضالذكريات العزيزة على النفوس. ويضم الكتاب إضافة إلى تلك النفحات الأندلسية بعض البحوث التي تتناغم مع أخواتها و","276","2000","دار الفكر المعاصر","0000000000001","تاريخ الأدب","13.13"
"أنشطة القيم الحية للأطفال بين 3 و7 سنوات","ديان تيلمان ، ديانا هسو","تتضمّن هذه الأنشطة المرتكزة على القيم والموجهة للأطفال بين 3 و7 سنوات مجموعة متنوعة من طرائق استعمال القيم. كما تجمع بني تعلّم المفاهيم الجديدة، و المشاطرة، والتفكير، والإبداع، وتعلّم المهارات الاجتماعية من جهة، واللعب، والفنون، والغناء، والحركة، والتخيّل عرضالمشاطرة، والتفكير، والإبداع، وتعلّم المهارات الاجتماعية من جهة، واللعب، والفنون، والغناء، والحركة، والتخيّل","248","2006","الدار العربية للعلوم ناشرون","0000010000000","شؤون المرأة","41.25"
"أنقد","إدوارد بوند","تجري أحداث المسرحية التي بين أيدينا في ستينات القرن المنصرم في لندن في فترة التغيرات الاجتماعية الكبيرة. وموضوع المسرحية هو الفقر الثقافي والحضاري والإحباط الكبير الذي يعاني منه جيل كامل من الشباب المتعيّش على المعونات الاجتماعية. في «أُنقِذَ» يظهر بوند عرضوالإحباط الكبير الذي يعاني منه جيل كامل من الشباب المتعيّش على المعونات الاجتماعية. في «أُنقِذَ» يظهر بوند","214","2014","دار ممدوح عدوان للنشر والتوزيع","0000000000001","المسرحيات","22.5"
"أنوثة حذاء","زوينة سالم","رائعة حقا تأسر القارىء وتشده لأخره، سردسلس ومتقن أنثى الجنون قرأت مخاضا وياله من مخاض أعاد ولادة فكري من جديد أبي أمية  عرض","106","2017","دار الروافد الثقافية ناشرونu200e","0001000000000","النقد الفني","30.0"
"أهل السنة في إيران","مركز المسبار","هذا الكتاب هو محاولة لعرض التيار السنّي في إيران - على إمتداد التاريخ - ومحاولات التعايش، والنضال من أجل الإندماج، والرهانات لخلق أرضية وطنية تتجا وز حدود الطائفية الضيّقة أو المذهبية المحدودة. ولكن ذلك لا يتم إلا إذا توفّر حوار جادٌ مبنيٌ على معرفة بالوا عرضوز حدود الطائفية الضيّقة أو المذهبية المحدودة. ولكن ذلك لا يتم إلا إذا توفّر حوار جادٌ مبنيٌ على معرفة بالوا","262","2015","مركز تكوين للدراسات والأبحاث","0000000000010","االحركات والمذاهب","18.75"
"أهل السُّرى","إبراهيم الكوني","وقد جاء كتاب أهل السُرى في حوالي 320 صفحة توزع بين 26 موضوعاً جاءت على شكل دراسات نظرية ومقالات فكرية وتأملات وجودية وحوارات مع المؤلف إلا أن الرا بط بينها هو الحفر المعرفي الاستقصائي العميق لظاهرة السُرى والترحال بإعتبارها ظاهرة وجودية في المقام الأول يم عرضبط بينها هو الحفر المعرفي الاستقصائي العميق لظاهرة السُرى والترحال بإعتبارها ظاهرة وجودية في المقام الأول يم","330","2016","دار سؤال","0000000000001","الروايات","56.25"
"أهلا بالجيران","كارين كيوان","هوسنا بالمسلسلات القديم قدم شاشات الأبيض والأسود يتفاقم عاماً بعد عام. نمت أعراضه واتضحت على أيام العواصف التي كانت تهب مئة مرة، وتفعل العجائب بال أبطال لنكتشف في الحلقة الأخيرة إنهم لا زالوا سالمين لم تمسهم ولو قطرة مطر. وكبر الهوس وازداد مع ابتكار دبلجة عرضأبطال لنكتشف في الحلقة الأخيرة إنهم لا زالوا سالمين لم تمسهم ولو قطرة مطر. وكبر الهوس وازداد مع ابتكار دبلجة","128","2018","أوراق للنشر والتوزيع","0000000000001","القصص","11.25"
"أهم 365 نصيحة في تربية الأولاد","دار الفراشة","إنه دليل لكل أب وأم يحوّل التربية الى لعنة أطفال. تذكروا أن الطفولة لن تعود أبداً لذا تمتعوا بصحبة أطفالكم. قد يكون هذا هو الأهم لشخصيتكم  عرض","192","2014","دار الفراشة للطباعة والنشر والتوزيع / الأردن","0000010000000","تربية الأطفال","10.69"
"أوائل الإمارات 2014","غير متوفر","يخلد الكتاب قصص نجاح ملهمة لـ 43 شخصية تم تكريمها، ضمن مبادرة ""أوائل الإمارات"" التي أطلقها صاحب السمو الشيخ محمد بن راشد آل مكتوم في نوفمبر 2014 ب هدف تكريم الأوائل في الإمارات من أصحاب الإنجازات. ويأخذكم الكتاب في رحلة سريعة مع المكرمين للتعرف على حياتهم عرضهدف تكريم الأوائل في الإمارات من أصحاب الإنجازات. ويأخذكم الكتاب في رحلة سريعة مع المكرمين للتعرف على حياتهم","109","2015","دار كُتّاب للنشر والتوزيع","0010000000000","الحضارات والمدن","51.0"
"أوروبا والوطن العربي","نادية مصطفى","تحوز دراسة سياسات القوتين الأعظم وصراعهما حول العالم الثالث -على اختلاف مناطقه- وفي المنطقة العربية بصفة خاصة، اهتماماً يفوق الاهتمام الذي تحظى به دراسة دور الدول، أو القوى الثانوية في هذه المناطق. وتعد المنطقة العربية من أهم النظم الإقليمية الدولية التي عرضدراسة دور الدول، أو القوى الثانوية في هذه المناطق. وتعد المنطقة العربية من أهم النظم الإقليمية الدولية التي","367","1986","مركز دراسات الوحدة العربية","0000000100000","السياسة الدولية","13.13"
"أوزار","إبراهيم الألمعي","نظرت جهة مكاني في زاوية المقهى الشعبي، حيث أجلس وحيدا، منزويا عن نظرات الفضول التي تتفحص الجالسين والداخلين والخارجين  عرض","86","2017","مؤسسة الانتشار العربي","0000000000001","القصص","15.0"
"أولادنا والحاسوب","كاترين ريجوليه","أضحى الحاسوب (كمبيوتر في الإنكليزية) آلة لا غنى عنها وأحدث ثورة في أعماق المصانع والمكاتب.وأصبح المساعد المفروض على الباحث، والمهندس، وأمين السر و أمين المحفوظات (الوثائقي)، وحتى الأهل لم يتركهم الحاسوب. عرضأمين المحفوظات (الوثائقي)، وحتى الأهل لم يتركهم الحاسوب.","152","1996","جروس برس ناشرون","0000010000000","شؤون المرأة","15.0"
"أوليس البغدادي","إريك شميت","يريد سعد أن يترك بغداد والفوضى التي تعم فيها ليهاجر إلى أوروبا، إلى الحرية، إلى المستقبل. ولكن كيف سيقطع الحدود بدون دينار في جيبه؟ فشأنه شأن أولي س بطل أوديسة هوميروس يجابه العواصف، ينجو بعد أن غرق مركبه، يفلت من مهربي الأفيون، يصم أذنيه عن غناء الحوريات، عرضس بطل أوديسة هوميروس يجابه العواصف، ينجو بعد أن غرق مركبه، يفلت من مهربي الأفيون، يصم أذنيه عن غناء الحوريات،","328","2015","دار الفارابي للنشر والتوزيع","0000000000001","الروايات","37.5"
"أيقونة الحرية تستغيث بصلاح الدين","عزة القصابي","نحن أمام كاتبة مسرحية قديمة متجددة، وجدناها في ستينيات القرن الماضي لدى كلٍّ من ألفريد فرج ويسري الجندي وسعد الله ونوس عربياً، وبيتر فايس عالمياً، وغيرهم من الأسماء، حيث الكتابة التسجيلية التوثيقية الدرامية الواعية. د.عزة القصابي لديها الوعي الدرامي، والقدرة التي تكفل لها الغوص في عمق الأزمة الفلسطينية مع الاحتلال الغاشم، تلك الأزمة القديمة المتجددة، فما زال الجرح ينزف، ومن خلال الظلم يعتلي القمة للأسف. لكن تبقى كلمات القصابي وجُملها المرنة داخل النصوص الثلاثة بمثابة وثائق إدانة للواقع العربي المتخاذل، قبل أن يكون وسيلة لإدانة الاحتلال الغاشم. عرضوغيرهم من الأسماء، حيث الكتابة التسجيلية التوثيقية الدرامية الواعية. د.عزة القصابي لديها الوعي الدرامي، والقدرة التي تكفل لها الغوص في عمق الأزمة الفلسطينية مع الاحتلال الغاشم، تلك الأزمة القديمة المتجددة، فما زال الجرح ينزف، ومن خلال الظلم يعتلي القمة للأسف. لكن تبقى كلمات القصابي وجُملها المرنة داخل النصوص الثلاثة بمثابة وثائق إدانة للواقع العربي المتخاذل، قبل أن يكون وسيلة لإدانة الاحتلال الغاشم.","170","2019","الآن ناشرون وموزعون","0000000000001","المسرحيات","37.5"
"أين ذهبت نورة؟","منى العتيبي","«دارَ الأطفالُ عَلى كُلِّ الغُرَفِ والكُلُّ يُعلِنُ انسِحابَ سَعْد بِصَوتٍ عالٍ. دَخَلوا غُرَفَ النَّومِ والحَمّاماتِ والمَطبَخَ. حتّى أنَّ خالِد  صَعَدَ إلى السَّطحِ ولَكِنْ لا أثرَ لِنُورَة!» يحاول كلّ من سعد وخالد وغادة وأحمد البحث عن نورة بعد أن اختفت. تتّصل الأمّ بالجيران والأصدقاء وتفكّر بالاتّصال بالشرطة  تُرى أين اختفت نورة؟ عرضصَعَدَ إلى السَّطحِ ولَكِنْ لا أثرَ لِنُورَة!» يحاول كلّ من سعد وخالد وغادة وأحمد البحث عن نورة بعد أن اختفت. تتّصل الأمّ بالجيران والأصدقاء وتفكّر بالاتّصال بالشرطة ... تُرى أين اختفت نورة؟","24","2015","دار الساقي للنشر والتوزيع","0000010000000","تربية الأطفال","45.0"
"أين عصفورة القُراد في تينغا تينغا؟","كلوديا لويد","في قديم الزمان، ضاعت عصفورة القُراد الصغيرة ولم يعثر عليها أيٌّ من الحيوانات. لكن النسر كان مصمّماً على البحث عنها في كل مكان! يمكنك المساعدة في ا لعثور على عصفورة القُراد أيضاً باستخدام جميع الملصقات الملوّنة مع هذه المغامرة من حكايات تينغا تينغا! عرضلعثور على عصفورة القُراد أيضاً باستخدام جميع الملصقات الملوّنة مع هذه المغامرة من حكايات تينغا تينغا!","16","2012","دار الساقي للنشر والتوزيع","0000010000000","تربية الأطفال","18.75"
"أينشتين والنسبية","مصطفى محمود","""يظل الدكتور مصطفى محمود ظاهره فريده جمعت بين الأدب والطب والفلسفه والفكر وتظل مؤلفاته الفكريه وحلقاته التلفزيونه ومناظراته ومناقشاته مثار جدل تثي ر الحيويه والنشاط في الحياه الفكرية ويبقى الدكتور مصطفى محمود القيمه والقدوة والرمو المضيء الذي أفنى حياتة باحثاً ومنقباً ومجتهداً وعلامه بارزه من علامات فكرنا العربي والأسلامي والمعاصر، فجاءت كتاباته واجتهادته شاهداً على عصره وعلى زمانه."" عرضر الحيويه والنشاط في الحياه الفكرية ويبقى الدكتور مصطفى محمود القيمه والقدوة والرمو المضيء الذي أفنى حياتة باحثاً ومنقباً ومجتهداً وعلامه بارزه من علامات فكرنا العربي والأسلامي والمعاصر، فجاءت كتاباته واجتهادته شاهداً على عصره وعلى زمانه.""","96","2017","نور للنشر","0000001000000","الفيزياء","215.09"
